tautomer,conformer_id,level_id,functional,basis,solvent,geom_label,geometry_source,engine,rel_energy_kcalmol,boltzmann_weight,state,excitation_energy_eV,wavelength_nm,oscillator_strength,major_orbital_transitions,flag
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,1,3.71914,333.4,0.074016,HOMO-2->LUMO (73%); HOMO->LUMO (11%); HOMO-5->LUMO+1 (8%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,2,3.89381,318.4,0.102833,HOMO->LUMO (78%); HOMO-2->LUMO (10%); HOMO->LUMO+1 (6%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,3,3.98791,310.9,0.018457,HOMO-5->LUMO (61%); HOMO-2->LUMO+1 (30%); HOMO->LUMO (3%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,4,4.30187,288.2,0.095125,HOMO-1->LUMO (52%); HOMO-3->LUMO (36%); HOMO-2->LUMO (3%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,5,4.39037,282.4,0.217661,HOMO-3->LUMO (53%); HOMO-1->LUMO (34%); HOMO-1->LUMO+1 (4%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,6,4.46984,277.4,0.024043,HOMO-4->LUMO (85%); HOMO->LUMO+2 (9%); HOMO-4->LUMO+1 (3%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,7,4.61367,268.7,0.479942,HOMO->LUMO+1 (72%); HOMO-5->LUMO+1 (6%); HOMO-1->LUMO+1 (5%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,8,4.67077,265.4,0.030235,HOMO-2->LUMO+1 (59%); HOMO-5->LUMO (31%); HOMO->LUMO+1 (6%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,9,4.91644,252.2,0.081439,HOMO-1->LUMO+1 (47%); HOMO-3->LUMO+1 (33%); HOMO-1->LUMO+3 (4%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,10,4.96822,249.6,0.000166,HOMO-4->LUMO+1 (63%); HOMO->LUMO+2 (25%); HOMO-4->LUMO (9%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,11,4.98647,248.6,0.121135,HOMO-3->LUMO+1 (50%); HOMO-1->LUMO+1 (24%); HOMO-5->LUMO+1 (11%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,12,5.21204,237.9,0.114088,HOMO-5->LUMO+1 (64%); HOMO-1->LUMO+1 (14%); HOMO-2->LUMO (8%),
diketo,diketo_c000,b3lyp_631+gd,B3LYP,6-31+G(d),ethanol,dftopt22,DFT,ORCA 6.1.1,0.0,0.86638,13,5.61514,220.8,0.001336,HOMO->LUMO+3 (99%),
