wavelength_nm,avobenzone
200.0,630.6
201.0,1074.2
202.0,1719.0
203.0,2589.0
204.0,3676.2
205.0,4929.6
206.0,6253.5
207.0,7517.6
208.0,8579.7
209.0,9314.3
210.0,9640.5
211.0,9539.9
212.0,9060.4
213.0,8305.6
214.0,7413.2
215.0,6531.1
216.0,5795.9
217.0,5319.3
218.0,5181.7
219.0,5432.2
220.0,6090.9
221.0,7150.4
222.0,8575.6
223.0,10301.8
224.0,12233.2
225.0,14245.0
226.0,16191.0
227.0,17916.3
228.0,19275.9
229.0,20153.0
230.0,20476.2
231.0,20228.7
232.0,19450.8
233.0,18232.5
234.0,16699.8
235.0,14997.2
236.0,13268.9
237.0,11643.7
238.0,10223.7
239.0,9078.2
240.0,8242.5
241.0,7720.3
242.0,7488.7
243.0,7504.2
244.0,7709.4
245.0,8039.1
246.0,8426.4
247.0,8807.7
248.0,9127.4
249.0,9341.1
250.0,9417.5
251.0,9340.0
252.0,9105.6
253.0,8724.1
254.0,8214.8
255.0,7604.2
256.0,6922.8
257.0,6201.7
258.0,5470.7
259.0,4756.3
260.0,4080.6
261.0,3460.7
262.0,2908.9
263.0,2432.9
264.0,2036.9
265.0,1722.0
266.0,1486.6
267.0,1327.9
268.0,1241.4
269.0,1222.1
270.0,1264.0
271.0,1360.8
272.0,1505.8
273.0,1692.0
274.0,1912.3
275.0,2159.9
276.0,2428.2
277.0,2711.5
278.0,3005.3
279.0,3306.3
280.0,3612.8
281.0,3924.9
282.0,4244.2
283.0,4573.7
284.0,4917.3
285.0,5279.3
286.0,5663.8
287.0,6073.8
288.0,6510.8
289.0,6974.1
290.0,7460.2
291.0,7962.9
292.0,8473.2
293.0,8979.5
294.0,9468.2
295.0,9924.4
296.0,10332.7
297.0,10678.1
298.0,10946.9
299.0,11127.7
300.0,11211.8
301.0,11194.0
302.0,11072.7
303.0,10850.2
304.0,10532.2
305.0,10127.8
306.0,9648.8
307.0,9109.3
308.0,8525.2
309.0,7913.1
310.0,7290.4
311.0,6674.6
312.0,6082.8
313.0,5532.2
314.0,5039.3
315.0,4620.8
316.0,4293.2
317.0,4073.6
318.0,3980.0
319.0,4031.2
320.0,4247.6
321.0,4651.4
322.0,5266.0
323.0,6116.8
324.0,7230.1
325.0,8632.9
326.0,10352.0
327.0,12413.3
328.0,14840.4
329.0,17653.1
330.0,20866.7
331.0,24490.1
332.0,28524.4
333.0,32962.2
334.0,37786.2
335.0,42968.5
336.0,48470.7
337.0,54243.3
338.0,60226.5
339.0,66351.2
340.0,72539.8
341.0,78708.3
342.0,84768.3
343.0,90628.8
344.0,96199.1
345.0,101391.1
346.0,106121.5
347.0,110314.4
348.0,113903.2
349.0,116832.7
350.0,119059.8
351.0,120555.4
352.0,121303.9
353.0,121304.4
354.0,120569.2
355.0,119124.1
356.0,117006.4
357.0,114264.0
358.0,110953.7
359.0,107139.1
360.0,102889.0
361.0,98275.5
362.0,93372.0
363.0,88251.4
364.0,82984.8
365.0,77639.9
366.0,72280.1
367.0,66963.1
368.0,61740.7
369.0,56658.1
370.0,51753.7
371.0,47059.1
372.0,42599.3
373.0,38393.0
374.0,34452.7
375.0,30785.6
376.0,27394.2
377.0,24276.5
378.0,21426.9
379.0,18836.9
380.0,16495.5
381.0,14389.9
382.0,12505.8
383.0,10828.3
384.0,9341.7
385.0,8030.4
386.0,6879.0
387.0,5872.3
388.0,4995.9
389.0,4236.2
390.0,3580.2
391.0,3016.1
392.0,2532.9
393.0,2120.4
394.0,1769.7
395.0,1472.6
396.0,1221.7
397.0,1010.7
398.0,833.7
399.0,685.8
400.0,562.6
401.0,460.2
402.0,375.5
403.0,305.6
404.0,248.1
405.0,200.9
406.0,162.2
407.0,130.7
408.0,105.1
409.0,84.3
410.0,67.4
411.0,53.8
412.0,42.9
413.0,34.1
414.0,27.0
415.0,21.4
416.0,16.9
417.0,13.3
418.0,10.5
419.0,8.2
420.0,6.4
421.0,5.0
422.0,3.9
423.0,3.1
424.0,2.4
425.0,1.9
426.0,1.4
427.0,1.1
428.0,0.9
429.0,0.7
430.0,0.5
431.0,0.4
432.0,0.3
433.0,0.2
434.0,0.2
435.0,0.1
436.0,0.1
437.0,0.1
438.0,0.1
439.0,0.0
440.0,0.0
441.0,0.0
442.0,0.0
443.0,0.0
444.0,0.0
445.0,0.0
446.0,0.0
447.0,0.0
448.0,0.0
449.0,0.0
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
