tautomer,conformer,form,parameter,xtb,dft,change
diketo,diketo_c000,diketo,aryl1_twist_deg,1.5,2.7,1.2
diketo,diketo_c000,diketo,aryl2_twist_deg,3.4,1.9,-1.5
diketo,diketo_c000,diketo,backbone_OCCO_deg,6.2,16.7,10.5
diketo,diketo_c012,diketo,aryl1_twist_deg,2.1,0.8,-1.3
diketo,diketo_c012,diketo,aryl2_twist_deg,10.4,0.8,-9.6
diketo,diketo_c012,diketo,backbone_OCCO_deg,83.4,78.0,-5.4
enolA,enolA_c000,enol,aryl_ketone_twist_deg,27.1,0.9,-26.2
enolA,enolA_c000,enol,aryl_enol_twist_deg,22.2,5.7,-16.5
enolA,enolA_c000,enol,chelate_H_to_O_A,1.673,1.514,-0.159
enolB,enolB_c000,enol,aryl_ketone_twist_deg,28.9,2.0,-26.9
enolB,enolB_c000,enol,aryl_enol_twist_deg,14.8,0.4,-14.4
enolB,enolB_c000,enol,chelate_H_to_O_A,1.663,1.514,-0.149
